2013-10-19 19:52:55 Debug: [0.026166] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
2013-10-19 19:53:46 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 19:53:46 Debug: [1.185204] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
2013-10-19 19:53:51 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 19:53:51 Debug: [1.176428] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
2013-10-19 19:53:55 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 19:53:55 Debug: [1.186642] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
2013-10-19 19:53:56 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 19:53:56 Debug: [0.105021] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
2013-10-19 19:54:00 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 19:54:00 Debug: [1.209609] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
2013-10-19 19:54:02 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 19:54:02 Debug: [1.189945] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
2013-10-19 19:54:04 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 19:54:04 Debug: [0.115634] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
2013-10-19 19:54:10 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 19:54:10 Debug: [0.028607] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
2013-10-19 19:55:13 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 19:55:13 Debug: [1.187245] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
2013-10-19 19:55:19 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 19:55:19 Debug: [1.187528] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
2013-10-19 19:55:20 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 19:55:20 Debug: [0.103634] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
2013-10-19 19:55:23 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 19:55:23 Debug: [1.185831] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
2013-10-19 19:55:25 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 19:55:25 Debug: [1.195084] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
2013-10-19 19:55:26 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 19:55:26 Debug: [0.105665] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
2013-10-19 19:55:28 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 19:55:28 Debug: [0.025853] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
2013-10-19 20:08:01 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 20:08:01 Debug: [1.187263] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
2013-10-19 20:09:00 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 20:09:00 Debug: [1.290365] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
2013-10-19 20:09:01 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 20:09:01 Debug: [0.117994] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
2013-10-19 20:09:04 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 20:09:04 Debug: [1.208623] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
2013-10-19 20:09:07 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 20:09:07 Debug: [0.120948] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21

2013-10-19 20:11:10 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 20:11:10 Debug: [1.209057] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
2013-10-19 20:11:11 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 20:11:11 Debug: [0.112743] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
2013-10-19 20:11:15 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 20:11:15 Debug: [0.109067] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
2013-10-19 20:12:00 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 20:12:00 Debug: [0.113096] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
2013-10-19 20:12:04 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 20:12:04 Debug: [0.113392] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
2013-10-19 20:16:19 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 20:16:19 Debug: [1.222233] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
2013-10-19 20:19:42 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 20:19:42 Debug: [0.129637] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
2013-10-19 20:20:02 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 20:20:02 Debug: [1.224684] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
2013-10-19 20:37:47 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 20:37:47 Debug: [0.027443] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
2013-10-19 20:37:58 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 20:37:58 Debug: [1.206176] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
2013-10-19 20:42:44 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 20:42:44 Debug: [1.215696] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
2013-10-19 20:43:36 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 20:43:36 Debug: [0.026234] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
